doc_id,gold,raw_text,pure_found_rating_token,pure_rating_gen_step,pure_llm_rating_expected,pure_llm_first_expected,pure_rating_probs_json,pure_first_probs_json,digit_plus_found_rating_token,digit_plus_rating_gen_step,digit_plus_llm_rating_expected,digit_plus_llm_first_expected,digit_plus_rating_probs_json,digit_plus_first_probs_json,digit_word_found_rating_token,digit_word_rating_gen_step,digit_word_llm_rating_expected,digit_word_llm_first_expected,digit_word_rating_probs_json,digit_word_first_probs_json
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,3.0,"Based on the evaluation criteria, I would rate the fluency of the summary as 2 out of 5.

The summary contains several errors in grammar, spelling, and punctuation, which affect its overall fluency. For example, the sentence ""Andros townsend scored the tottenham midfielder in the 89th minute"" is unclear and lacks a subject-verb agreement. Additionally, the sentence ""Paul merson had another dig at andros townsend after his appearance"" is worded awkwardly and could be rephrased for better clarity.

The summary also contains typos, such as ""Andros townsend"" instead",1,17,1.8778245990035831,1.2182410173118114,"{""1"": 0.12248535454273224, ""2"": 0.8772056698799133, ""3"": 0.0003083920164499432, ""4"": 6.589775694010314e-07, ""5"": 1.8548279356878083e-08}","{""1"": 0.9148203730583191, ""2"": 0.019135402515530586, ""3"": 0.013358664698898792, ""4"": 0.03835376724600792, ""5"": 0.014331755228340626}",1,17,1.8778245990035831,1.2182410173118114,"{""1"": 0.12248535454273224, ""2"": 0.8772056698799133, ""3"": 0.0003083920164499432, ""4"": 6.589775694010314e-07, ""5"": 1.8548279356878083e-08}","{""1"": 0.9148203730583191, ""2"": 0.019135402515530586, ""3"": 0.013358664698898792, ""4"": 0.03835376724600792, ""5"": 0.014331755228340626}",1,17,1.8778245990035831,1.2258953526616096,"{""1"": 0.12248535454273224, ""2"": 0.8772056698799133, ""3"": 0.0003083920164499432, ""4"": 6.589775694010314e-07, ""5"": 1.8548279356878083e-08}","{""1"": 0.9118366241455078, ""2"": 0.019958706572651863, ""3"": 0.013779617846012115, ""4"": 0.03932289779186249, ""5"": 0.015102174133062363}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,5.0,"I've read the summary carefully and evaluated it based on the fluency criteria. Here's my assessment:

Fluency: 2

The summary has some errors in grammar, spelling, and punctuation, which affect its overall fluency. For example, the sentence ""Paul merson has restarted his row with andros townsend"" is grammatically incorrect, and the use of ""andros"" instead of ""Andrew"" is a spelling error. Additionally, the punctuation is inconsistent, with no clear separation between sentences. The wording also sounds unnatural and lacks clarity, making it difficult to understand the main points of the article.",1,26,2.4268897242614003,1.1362674105912447,"{""1"": 0.0014303142670542002, ""2"": 0.5861169099807739, ""3"": 0.396586537361145, ""4"": 0.01586545817553997, ""5"": 8.290494406537618e-07}","{""1"": 0.9503955245018005, ""2"": 0.008417523466050625, ""3"": 0.0057852743193507195, ""4"": 0.025327181443572044, ""5"": 0.010074458085000515}",1,26,2.4268897242614003,1.1362674105912447,"{""1"": 0.0014303142670542002, ""2"": 0.5861169099807739, ""3"": 0.396586537361145, ""4"": 0.01586545817553997, ""5"": 8.290494406537618e-07}","{""1"": 0.9503955245018005, ""2"": 0.008417523466050625, ""3"": 0.0057852743193507195, ""4"": 0.025327181443572044, ""5"": 0.010074458085000515}",1,26,2.4268897242614003,1.1583192022517323,"{""1"": 0.0014303142670542002, ""2"": 0.5861169099807739, ""3"": 0.396586537361145, ""4"": 0.01586545817553997, ""5"": 8.290494406537618e-07}","{""1"": 0.9421640038490295, ""2"": 0.01027543656527996, ""3"": 0.006793145090341568, ""4"": 0.028612159192562103, ""5"": 0.012155250646173954}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,5.0,"Based on the evaluation criteria, I would rate the fluency of the summary as 3 out of 5.

The summary has some grammatical errors, such as the lack of articles (""andros townsend"" instead of ""Andros Townsend"") and incorrect verb tenses (""has restarted"" instead of ""restarted""). Additionally, the sentence structure is not always natural, with some sentences feeling a bit awkward or disconnected from each other.

However, the summary is still readable and conveys the main points of the news article. The language is simple and clear, and the errors do not significantly impact the overall clarity of the summary.",1,17,2.7423369621890856,1.2455522762611508,"{""1"": 0.00028259828104637563, ""2"": 0.30037182569503784, ""3"": 0.6560723781585693, ""4"": 0.04327266290783882, ""5"": 5.852821800544916e-07}","{""1"": 0.912598192691803, ""2"": 0.01353607326745987, ""3"": 0.010876541025936604, ""4"": 0.0416940376162529, ""5"": 0.021295232698321342}",1,17,2.7423369621890856,1.2455522762611508,"{""1"": 0.00028259828104637563, ""2"": 0.30037182569503784, ""3"": 0.6560723781585693, ""4"": 0.04327266290783882, ""5"": 5.852821800544916e-07}","{""1"": 0.912598192691803, ""2"": 0.01353607326745987, ""3"": 0.010876541025936604, ""4"": 0.0416940376162529, ""5"": 0.021295232698321342}",1,17,2.7423369621890856,1.2697084043174982,"{""1"": 0.00028259828104637563, ""2"": 0.30037182569503784, ""3"": 0.6560723781585693, ""4"": 0.04327266290783882, ""5"": 5.852821800544916e-07}","{""1"": 0.903975248336792, ""2"": 0.015213893726468086, ""3"": 0.011898858472704887, ""4"": 0.04495150223374367, ""5"": 0.023960556834936142}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,5.0,"Based on the evaluation criteria, I would rate the fluency of the summary as 2 out of 5.

The summary has some grammatical errors, such as the lack of articles (""andros townsend"" instead of ""Andros Townsend"") and incorrect verb tenses (""was brought on with only seven minutes remaining"" instead of ""was brought on with only seven minutes left""). Additionally, the sentence structure is simple and lacks variety, making it sound somewhat unnatural. Overall, while the summary conveys the basic information, its fluency is hindered by these errors.",1,17,2.4152104229258384,1.3083950318396091,"{""1"": 0.0043608397245407104, ""2"": 0.5985677242279053, ""3"": 0.37457412481307983, ""4"": 0.022494925186038017, ""5"": 2.411912419120199e-06}","{""1"": 0.883885383605957, ""2"": 0.01937560923397541, ""3"": 0.015937939286231995, ""4"": 0.06606092303991318, ""5"": 0.01474018394947052}",1,17,2.4152104229258384,1.3083950318396091,"{""1"": 0.0043608397245407104, ""2"": 0.5985677242279053, ""3"": 0.37457412481307983, ""4"": 0.022494925186038017, ""5"": 2.411912419120199e-06}","{""1"": 0.883885383605957, ""2"": 0.01937560923397541, ""3"": 0.015937939286231995, ""4"": 0.06606092303991318, ""5"": 0.01474018394947052}",1,17,2.4152104229258384,1.3153792759403586,"{""1"": 0.0043608397245407104, ""2"": 0.5985677242279053, ""3"": 0.37457412481307983, ""4"": 0.022494925186038017, ""5"": 2.411912419120199e-06}","{""1"": 0.8812116384506226, ""2"": 0.02001284435391426, ""3"": 0.016287079080939293, ""4"": 0.06716149300336838, ""5"": 0.015326947905123234}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,3.3333333333333335,"I'm ready to evaluate the summary. Please provide the summary, and I'll rate it on fluency from 1 to 5.",1,23,1.0000000168532952,1.1212019701488316,"{""1"": 1.0, ""2"": 1.6110295389393237e-11, ""3"": 4.923703458836748e-11, ""4"": 5.1198417033715415e-11, ""5"": 3.2937139682331917e-09}","{""1"": 0.9580883979797363, ""2"": 0.006355464458465576, ""3"": 0.003977148327976465, ""4"": 0.019423866644501686, ""5"": 0.012155146338045597}",1,23,1.0000000168532952,1.1212019701488316,"{""1"": 1.0, ""2"": 1.6110295389393237e-11, ""3"": 4.923703458836748e-11, ""4"": 5.1198417033715415e-11, ""5"": 3.2937139682331917e-09}","{""1"": 0.9580883979797363, ""2"": 0.006355464458465576, ""3"": 0.003977148327976465, ""4"": 0.019423866644501686, ""5"": 0.012155146338045597}",1,23,1.0000000168532952,1.22702817292884,"{""1"": 1.0, ""2"": 1.6110295389393237e-11, ""3"": 4.923703458836748e-11, ""4"": 5.1198417033715415e-11, ""5"": 3.2937139682331917e-09}","{""1"": 0.9207231998443604, ""2"": 0.01349655631929636, ""3"": 0.007642277982085943, ""4"": 0.03430519625544548, ""5"": 0.02383284829556942}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,5.0,"I've read the summary carefully and evaluated it based on the fluency criteria. Here's my assessment:

Fluency: 3

The summary has some minor errors in grammar, punctuation, and sentence structure, which affect its overall fluency. For example, the sentence ""Merson initially angered townsend for writing in his sky sports column that ` if andros townsend can get in ( the england team ) then it opens it up to anybody. '"" is a bit awkwardly phrased and could be reworded for better clarity. Additionally, there are some minor errors in punctuation and capitalization throughout the summary.",1,26,2.8195125342395215,1.2106886189430952,"{""1"": 5.120127752888948e-05, ""2"": 0.2086189240217209, ""3"": 0.7630963325500488, ""4"": 0.02823350392282009, ""5"": 9.431542480342614e-08}","{""1"": 0.9276168346405029, ""2"": 0.008883372880518436, ""3"": 0.006499214097857475, ""4"": 0.03919527679681778, ""5"": 0.017805257812142372}",1,26,2.8195125342395215,1.2106886189430952,"{""1"": 5.120127752888948e-05, ""2"": 0.2086189240217209, ""3"": 0.7630963325500488, ""4"": 0.02823350392282009, ""5"": 9.431542480342614e-08}","{""1"": 0.9276168346405029, ""2"": 0.008883372880518436, ""3"": 0.006499214097857475, ""4"": 0.03919527679681778, ""5"": 0.017805257812142372}",1,26,2.8195125342395215,1.2705171471461654,"{""1"": 5.120127752888948e-05, ""2"": 0.2086189240217209, ""3"": 0.7630963325500488, ""4"": 0.02823350392282009, ""5"": 9.431542480342614e-08}","{""1"": 0.9067835211753845, ""2"": 0.01230671163648367, ""3"": 0.008470297791063786, ""4"": 0.048488158732652664, ""5"": 0.0239513348788023}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,5.0,"I've read the summary carefully and evaluated it based on the fluency criteria. Here's my assessment:

Fluency: 2

The summary has some errors in grammar, spelling, and punctuation, which affect its overall fluency. For example, the sentence ""Merson initially angered townsend for writing in his sky sports column that'if andros townsend can get in ( the england team ) then it opens it up to anybody. '"" is a run-on sentence with poor punctuation. Additionally, the use of abbreviations like ""# rubberdub # 7minutes"" and the lack of proper capitalization in some words (",1,26,2.0310238714506754,1.225408248603344,"{""1"": 0.0026238341815769672, ""2"": 0.9638028144836426, ""3"": 0.03349887207150459, ""4"": 7.443244976457208e-05, ""5"": 1.2457648246311237e-08}","{""1"": 0.9183618426322937, ""2"": 0.01351555809378624, ""3"": 0.009965747594833374, ""4"": 0.04066647216677666, ""5"": 0.017490431666374207}",1,26,2.0310238714506754,1.225408248603344,"{""1"": 0.0026238341815769672, ""2"": 0.9638028144836426, ""3"": 0.03349887207150459, ""4"": 7.443244976457208e-05, ""5"": 1.2457648246311237e-08}","{""1"": 0.9183618426322937, ""2"": 0.01351555809378624, ""3"": 0.009965747594833374, ""4"": 0.04066647216677666, ""5"": 0.017490431666374207}",1,26,2.0310238714506754,1.2465736493468285,"{""1"": 0.0026238341815769672, ""2"": 0.9638028144836426, ""3"": 0.03349887207150459, ""4"": 7.443244976457208e-05, ""5"": 1.2457648246311237e-08}","{""1"": 0.9106418490409851, ""2"": 0.015117205679416656, ""3"": 0.010886365547776222, ""4"": 0.04373432695865631, ""5"": 0.019620196893811226}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,5.0,"I'm ready to evaluate the summary. Please provide the summary, and I'll rate it on the fluency metric.

(Note: I'll use the evaluation criteria and steps provided to assess the summary's fluency, and assign a score from 1 to 5.)",1,49,1.0000000398507085,1.138658641371876,"{""1"": 1.0, ""2"": 1.1861120086109622e-08, ""3"": 2.317417147068568e-09, ""4"": 6.435235122559391e-10, ""5"": 1.320424547479604e-09}","{""1"": 0.950665295124054, ""2"": 0.008160860277712345, ""3"": 0.005565222818404436, ""4"": 0.023067209869623184, ""5"": 0.012541423551738262}",1,49,1.0000000398507085,1.138658641371876,"{""1"": 1.0, ""2"": 1.1861120086109622e-08, ""3"": 2.317417147068568e-09, ""4"": 6.435235122559391e-10, ""5"": 1.320424547479604e-09}","{""1"": 0.950665295124054, ""2"": 0.008160860277712345, ""3"": 0.005565222818404436, ""4"": 0.023067209869623184, ""5"": 0.012541423551738262}",1,49,1.0000000398507134,1.2054219841957092,"{""1"": 1.0, ""2"": 1.1861120086109622e-08, ""3"": 2.317417147068568e-09, ""4"": 6.435247890124174e-10, ""5"": 1.320424547479604e-09}","{""1"": 0.9265418648719788, ""2"": 0.013055684044957161, ""3"": 0.008363984525203705, ""4"": 0.03251591697335243, ""5"": 0.01952262595295906}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,5.0,"I'm ready to evaluate the summary. Please provide the summary, and I'll rate it on the fluency metric.",0,,,1.081319143762812,{},"{""1"": 0.9718209505081177, ""2"": 0.00467970035970211, ""3"": 0.0024660287890583277, ""4"": 0.012426069006323814, ""5"": 0.008607286028563976}",0,,,1.081319143762812,{},"{""1"": 0.9718209505081177, ""2"": 0.00467970035970211, ""3"": 0.0024660287890583277, ""4"": 0.012426069006323814, ""5"": 0.008607286028563976}",0,,,1.2794647486880422,{},"{""1"": 0.9002044200897217, ""2"": 0.019632047042250633, ""3"": 0.009554446674883366, ""4"": 0.04171265289187431, ""5"": 0.028896456584334373}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,5.0,"Based on the evaluation criteria, I would rate the fluency of the summary as 2 out of 5.

The summary contains several errors in grammar, spelling, and punctuation, which affect its readability and clarity. For example, the sentence ""Paul merson had a dig at andros townsend after his appearance for tottenham. Townsend was brought on in the 83rd minute for tottenham against burnley. 'just been watching the game, did you miss the coach? # rubberdub # 7minutes,'merson wrote on twitter"" is a jumbled collection of sentences and phrases that are difficult to follow",1,17,1.9293831669410704,1.2113300506025553,"{""1"": 0.07250029593706131, ""2"": 0.925621747970581, ""3"": 0.0018726239213719964, ""4"": 5.342645181372063e-06, ""5"": 2.654360109488607e-08}","{""1"": 0.9186855554580688, ""2"": 0.01593083329498768, ""3"": 0.012406946159899235, ""4"": 0.04132143780589104, ""5"": 0.011655247770249844}",1,17,1.9293831669410704,1.2113300506025553,"{""1"": 0.07250029593706131, ""2"": 0.925621747970581, ""3"": 0.0018726239213719964, ""4"": 5.342645181372063e-06, ""5"": 2.654360109488607e-08}","{""1"": 0.9186855554580688, ""2"": 0.01593083329498768, ""3"": 0.012406946159899235, ""4"": 0.04132143780589104, ""5"": 0.011655247770249844}",1,17,1.9293831669410704,1.2191847069188952,"{""1"": 0.07250029593706131, ""2"": 0.925621747970581, ""3"": 0.0018726239213719964, ""4"": 5.342645181372063e-06, ""5"": 2.654360109488607e-08}","{""1"": 0.9155929684638977, ""2"": 0.016761530190706253, ""3"": 0.012844773940742016, ""4"": 0.04246922954916954, ""5"": 0.012331487610936165}"
